99	9s	0.009756
99	9r	0.004878
99	9u	0.004878
99	9t	0.014634
99	9w	0.009756
99	9.	0.434146
99	99	0.126829
99	98	0.029268
99	91	0.024390
99	90	0.019512
99	93	0.004878
99	92	0.009756
99	95	0.004878
99	94	0.004878
99	97	0.024390
99	96	0.004878
98	8k	0.012821
98	8i	0.012821
98	8.	0.538462
98	8l	0.025641
98	8m	0.025641
98	8g	0.012821
98	8$	0.038462
98	8z	0.012821
98	8r	0.025641
98	88	0.012821
98	89	0.051282
98	8d	0.012821
98	8s	0.012821
98	82	0.038462
98	83	0.012821
98	80	0.038462
98	86	0.025641
98	87	0.051282
98	84	0.012821
98	85	0.025641
91	1q	0.010417
91	1p	0.010417
91	1s	0.010417
91	1u	0.010417
91	1t	0.020833
91	1w	0.020833
91	1v	0.020833
91	1y	0.010417
91	1c	0.010417
91	1d	0.020833
91	1i	0.010417
91	1h	0.010417
91	1j	0.052083
91	1m	0.031250
91	1n	0.010417
91	11	0.177083
91	10	0.020833
91	12	0.041667
91	15	0.020833
91	14	0.041667
91	17	0.041667
91	16	0.041667
91	19	0.052083
91	18	0.041667
91	1$	0.010417
91	1.	0.250000
90	02	0.021739
90	03	0.043478
90	0p	0.043478
90	0y	0.021739
90	0$	0.065217
90	07	0.021739
90	0t	0.021739
90	05	0.021739
90	08	0.043478
90	09	0.108696
90	00	0.173913
90	04	0.021739
90	0a	0.021739
90	0f	0.021739
90	0d	0.021739
90	01	0.021739
90	0.	0.217391
90	0o	0.021739
90	0m	0.065217
93	39	0.120000
93	38	0.040000
93	33	0.080000
93	30	0.160000
93	37	0.080000
93	3t	0.040000
93	3.	0.480000
92	24	0.034483
92	2t	0.017241
92	26	0.051724
92	27	0.068966
92	20	0.017241
92	21	0.051724
92	22	0.034483
92	25	0.017241
92	28	0.017241
92	29	0.017241
92	2$	0.017241
92	2f	0.017241
92	2g	0.017241
92	2w	0.017241
92	2d	0.017241
92	2c	0.017241
92	2l	0.017241
92	2p	0.017241
92	2.	0.482759
92	2h	0.034483
92	2k	0.017241
95	59	0.037736
95	58	0.075472
95	55	0.132075
95	56	0.018868
95	51	0.113208
95	50	0.075472
95	5p	0.018868
95	5.	0.358491
95	5k	0.018868
95	5$	0.075472
95	5g	0.037736
95	5r	0.018868
95	5a	0.018868
94	48	0.050000
94	49	0.150000
94	46	0.050000
94	45	0.150000
94	42	0.250000
94	40	0.050000
94	41	0.050000
94	4.	0.200000
94	4y	0.050000
97	7g	0.021277
97	7f	0.021277
97	7d	0.021277
97	7c	0.021277
97	7$	0.042553
97	7.	0.382979
97	7m	0.042553
97	7k	0.042553
97	77	0.106383
97	75	0.021277
97	74	0.021277
97	73	0.021277
97	72	0.021277
97	71	0.021277
97	70	0.042553
97	7r	0.021277
97	7s	0.021277
97	79	0.063830
97	78	0.042553
96	6p	0.032258
96	6c	0.032258
96	6d	0.032258
96	6f	0.032258
96	6j	0.032258
96	6l	0.032258
96	6.	0.290323
96	60	0.096774
96	61	0.064516
96	62	0.064516
96	63	0.096774
96	64	0.032258
96	6n	0.032258
96	66	0.064516
96	67	0.032258
96	69	0.032258
me	em	0.023256
me	el	0.024341
me	eo	0.008682
me	en	0.093178
me	ei	0.024031
me	eh	0.005426
me	ek	0.004961
me	ej	0.002946
me	ee	0.017519
me	ed	0.119380
me	eg	0.026822
me	ef	0.009922
me	ea	0.013178
me	ec	0.013488
me	eb	0.011783
me	ey	0.002326
me	ex	0.012248
me	ez	0.005271
me	eu	0.004961
me	et	0.065891
me	ew	0.006202
me	ev	0.002791
me	eq	0.000930
me	ep	0.010698
me	es	0.163721
me	er	0.117674
me	e-	0.011473
me	e.	0.123256
me	e$	0.064341
me	e9	0.000620
me	e8	0.000310
me	e5	0.000155
me	e4	0.002326
me	e7	0.000155
me	e6	0.000155
me	e1	0.002016
me	e0	0.000155
me	e3	0.000620
me	e2	0.002791
md	d.	0.153061
md	d-	0.005102
md	d$	0.051020
md	d5	0.035714
md	dn	0.025510
md	do	0.183673
md	dl	0.010204
md	dm	0.015306
md	dj	0.005102
md	dh	0.005102
md	di	0.107143
md	dg	0.010204
md	dd	0.010204
md	de	0.066327
md	db	0.045918
md	dc	0.010204
md	da	0.091837
md	dz	0.015306
md	dx	0.010204
md	dy	0.015306
md	dv	0.005102
md	dw	0.010204
md	dt	0.005102
md	du	0.030612
md	dr	0.025510
md	ds	0.030612
md	dp	0.020408
mg	gw	0.007576
mg	gu	0.034091
mg	gt	0.022727
mg	gs	0.053030
mg	gr	0.060606
mg	gp	0.015152
mg	gy	0.003788
mg	gg	0.007576
mg	gf	0.030303
mg	ge	0.018939
mg	gd	0.015152
